상태,피그마,key,en,lo,ko,th,비고
번역 완료,WEB 로그인,8-20 characters,8-20 characters,8-20 ຕົວອັກສອນ,,,
번역 완료,WEB 캘린더,"A problem occurred while calculating the route, so the route cannot be displayed.","A problem occurred while calculating the route, so the route cannot be displayed.","ບັນຫາເກີດຂຶ້ນໃນຂະນະຄິດໄລ່ເສັ້ນທາງ, ດັ່ງນັ້ນບໍ່ສາມາດສະແດງເສັ້ນທາງໄດ້.",,,
번역 완료,,Account holder,Account holder,ເຂົ້າຂອງບັນຊີ,,,
번역 완료,,Account information,Account information,ຂໍ້ມູນບັນຊີ,,,
번역 완료,,Account number,Account number,ເລກບັນຊີທະນາຄານ,,,
번역 완료,,Add,Add,ເພີ່ມ,,,
번역 완료,,Add driver,Add driver,ເພີ່ມຄົນຂັບ,,,
번역 완료,,Add vehicle,Add vehicle,ເພີ່ມພາຫະນະ,,,
번역 완료,WEB 캘린더,Admin ID,Admin ID,ເລກລະຫັດແອັດມິນ,,,
제거 필요,WEB 캘린더,Administrator mobile,Administrator mobile,ຜື້ ດແລລະບບມຖ,,,
제거 필요,WEB 캘린더,Administrator name,Administrator name,ຊື່ຜູ້ດູແລການຂົນສົ່ງ,,,
번역 완료,WEB 캘린더,All,All,ທັງໝົດ,,,
번역 완료,WEB 캘린더,Amount,Amount,ມູນຄ່າ,,,
번역 완료,WEB 캘린더,Apply,Apply,ສະໝັກ,,นำมาใช้,
번역 완료,WEB 캘린더,APR,APR,ເດືອນເມສາ,,,
번역 완료,WEB 캘린더,Are you sure you want to cancel?,Are you sure you want to cancel?,ທ່ານແນ່ໃຈແລ້ວບໍ່ວ່າທ່ານຕ້ອງການຍົກເລີກ?,,,
번역 완료,WEB 캘린더,Are you sure you want to change the invoice status? You can’t undo this action,Are you sure you want to change the invoice status? You can’t undo this action,ເຈົ້າແນ່ໃຈແລ້ວບໍທີ່ຈະປ່ຽນສະຖານະໃບບິນ? ເຈົ້າບໍ່ສາມາດຍົກເລີກການກະທຳນີ້ໄດ້,,,
제거 필요,WEB 캘린더,Are you sure you want to change the order status? You can’t undo this action,Are you sure you want to change the order status? You can’t undo this action,ທ່ານແນ່ໃຈບໍ່ວ່າຕ້ອງການປ່ຽນ ສະຖານະຄໍາສັ່ງຂົນສົ່ງ? ປ່ຽນແລ້ວ ທ່ານບໍ່ສາມາດກັບຄືນໄດ້ :(,,,
번역 완료,,Are you sure you want to delete the driver?,Are you sure you want to delete the driver?,ທ່ານໝັ້ນໃຈບໍ່ວ່າຕ້ອງການລຶບຄົນຂັບ?,,,
번역 완료,,Are you sure you want to delete the invoice?,Are you sure you want to delete the invoice?,ເຈົ້າແນ່ໃຈແລ້ວບໍ່ທີ່ຈະລຶບໃບບິນ?,,,
번역 완료,,Are you sure you want to delete the vehicle?,Are you sure you want to delete the vehicle?,ທ່ານໝັ້ນໃຈຫຼືບໍວ່າຕ້ອງການລົບຍານພາຫະນະ?,,,
번역 완료,WEB 로그인,"At least 2 types (A-Z, a-z, numbers, symbols)","At least 2 types (A-Z, a-z, numbers, symbols)","ຢ່າງໜ້ອຍ 2 ປະເພດ (A-Z, a-z, ຕົວເລກ, ສັນຍາລັກ)",,,
번역 완료,WEB 캘린더,AUG,AUG,ເດືອນສິງຫາ,,,
번역 완료,,Available,Available,ພ້ອມນຳໃຊ້,,,
번역 완료,,Bank name,Bank name,ຊື່ທະນາຄານ,,,
번역 완료,,Blue box,Blue box,ກ່ອງສີຟ້າ,,,
번역 완료,WEB 캘린더,Box,Box,ກ່ອງ,,,
번역 완료,,Box information has been changed.,Box information has been changed.,ລາຍລະອຽດຈຳນວນກ່ອງ,,,
제거 필요,WEB 캘린더,Branch address,Branch address,ທ່ ຢູ່ສາຂາ,,,
번역 완료,,Branch code,Branch code,ລະຫັ ດສາຂາ,,รหัสสาขา,
번역 완료,WEB 캘린더,"Branch code, name","Branch code, name","ລະຫັັດສາຂາ, ຊື່",,,
번역 완료,WEB 캘린더,Branch information,Branch information,ຂໍ້ມູນສາຂາ,,,
제거 필요,WEB 캘린더,Branch name,Branch name,ຊັ່ ສາຂາ,,,
번역 완료,WEB 로그인,Browser not supported,Browser not supported,ບໍ່່ຮອງຮັບບຣາວເຊີ,,,
번역 완료,WEB 캘린더,Cancel,Cancel,ຍົກເລີກ,,,
번역 완료,WEB 캘린더,Cancel dispatch,Cancel dispatch,ຍົກເລີກ ການຈັດຄິວສົ່ງ,,,
번역 완료,WEB 캘린더,Canceled,Canceled,ຍົກເລີກ,,ยกเลิก,
번역 완료,WEB 캘린더,Canceled (admin),Canceled (admin),ຍົກເລີກ (ແອດມິນ),,,
번역 완료,,Car,"Car ",ລົດຍົນ,,,
번역 완료,WEB 캘린더,Change,Change,ປ່ຽນແປງ,,,
번역 완료,,Change password,Change password,ປ່ຽນລະຫັດຜ່ານ,,,
번역 완료,WEB 캘린더,Change routes,Change routes,ປັ່ຽນເສັ ນທາງ,,,
번역 완료,WEB 캘린더,Change status,Change status,ປ່ຽນແປງສະຖານະ,,,
제거 필요,WEB 캘린더,Change the driver,Change the driver,ປັ່ ຽນຄນຂັ ບ,,,
번역 완료,WEB 캘린더,Change the truck,Change the truck,ປ່ຽນລົດບັນທຸກ,,,
번역 완료,,Change to,Change to,ປ່ຽນເປັນ,,,
번역 완료,,Change total box information,Change total box information,ປ່ຽນລາຍລະອຽດຈຳນວນກ່ອງທັງໝົດ,,,
번역 완료,WEB 캘린더,Client email,Client email,ອີເມວລູກຄ້າ,,,
번역 완료,WEB 캘린더,Client mobile,Client mobile,ເບີໂທຂອງລູກຄ້າ,,,
번역 완료,WEB 캘린더,Client name,Client name,ຊື່ ລູກຄ້າ,,,
번역 완료,WEB 캘린더,Close,Close,ປິດ,,,
번역 완료,,Color,Color,ສີ,,,
번역 완료,WEB 캘린더,Completed,Completed,ສຳເລັດແລ້ວ,,เสร็จสิ้น,
번역 완료,WEB 캘린더,Completed (admin),Completed (admin),ສຳເລັດ (ແອດມິນ),,,
번역 완료,WEB 캘린더,Completed date,Completed date,ວັນທີສໍາເລັດ,,,
번역 완료,,Completed order,Completed order,ຄໍາສັ່ງຂົນສົ່ງ ທີ່ສໍາເລັດ,,,
번역 완료,WEB 캘린더,Confirm,Confirm,ຢັ້ງຢືນ,,,
번역 완료,WEB 로그인,Confirm password,Confirm password,ຢັ້ງຢືນ ລະຫັດຜ່ານ,,,
번역 완료,WEB 캘린더,Copied the mobile number.,Copied the mobile number.,ສຳເນົາເບີໂທລະສັບແລ້ວ.,,,
번역 완료,WEB 로그인,Create a new password,Create a new password,ສ້າງລະຫັດຜ່ານໃໝ່ຂອງທ່ານ,,,
번역 완료,WEB 캘린더,Created date,Created date,ວັນທີສ້າງ,,วันที่สร้าง,
번역 완료,,Current password,Current password,ລະຫັດຜ່ານປັດຈຸບັນ,,,
번역 완료,,Current status,Current status,ສະຖານະປັດຈຸບັນ,,,
번역 완료,WEB 캘린더,DEC,DEC,ເດືອນທັນວາ,,,
,,Default infomation,Default infomation,,,,
번역 완료,,Default information,Default information,ຂໍ້ມູນເລີ່ມຕົ້ນ,,,
번역 완료,,Delete,Delete,ລົບ,,,
번역 완료,,Delete the driver,Delete the driver,ລົບຄົນຂັບ,,,
번역 완료,,Delete the invoice,Delete the invoice,ລຶບໃບບິນ,,,
번역 완료,,Delete the vehicle,Delete the vehicle,ລົບຍານພາຫະນະ,,,
번역 완료,WEB 캘린더,Delivery information,Delivery information,ຂໍ້ມູນການຈັດສົ່ງ,,,
번역 완료,WEB 캘린더,Delivery routes,Delivery routes,ເສັ ນທາງການຈັ ດສງ,,,
번역 완료,WEB 캘린더,Delivery routes (branch code),Delivery routes (branch code),ເສັ້ນທາງການຂົນສົ່ງ (ລະຫັດສາຂາ),,,
번역 완료,WEB 캘린더,Delivery type,Delivery type,ປະເພດການຈັດສົ່ງ,,ประเภทการจัดส่ง,
번역 완료,WEB 캘린더,Departed,Departed,ອອກເດີນທາງແລັວ.,,ออกไป,
번역 완료,WEB 캘린더,Describe reason for change,Describe reason for change,ກະລຸນາໃສ່ເຫດຜົນສໍາລັບການປ່ຽນແປງ,,,
번역 완료,,Diesel,Diesel,ກາຊວນ,,,
번역 완료,WEB 캘린더,Dispatch,Dispatch,ຈັດຄິວສົ່ງ,,จัดส่ง,
번역 완료,WEB 캘린더,Dispatch has been canceled.,Dispatch has been canceled.,ການຈັດຄິວຂົນສົ່ງ ໄດ້ຖືກຍົກເລີກແລ້ວ.,,,
번역 완료,WEB 캘린더,Dispatch has been completed.,Dispatch has been completed.,ການຈັດຄິວຂົນສົ່ງ ໄດ້ສຳເລັດແລ້ວ.,,,
번역 완료,WEB 캘린더,Dispatched,Dispatched,"ສົ່ງແລ້ວ ",,จัดส่งแล้ว,
번역 완료,WEB 로그인,Done,Done,ສຳເລັດແລ້ວ,,,
번역 완료,WEB 캘린더,Driver & Truck,Driver & Truck,ພະນັກງານຂັບລົດ ແລະ ລົດບັນທຸກ,,,
번역 완료,WEB 캘린더,Driver attachments,Driver attachments,ເອກະສານຕິດຂັດຄົນຂັບ,,,
번역 완료,,Driver details,Driver details,ລາຍລະອຽດ ຜູ້ຂັບລົດຂົນສົ່ງ,,,
번역 완료,,Driver has been added.,Driver has been added.,ຄົນຂັບຖືກເພິ່ມ,,,
번역 완료,WEB 캘린더,Driver has been changed.,Driver has been changed.,ຄົນຂັບໄດ້ມີການປ່ຽນແປງແລ້ວ,,,
번역 완료,,Driver has been deleted.,Driver has been deleted.,ຄົນຂັບຖືກລົບ,,,
번역 완료,WEB 캘린더,Driver history,Driver history,ປະຫວັດຄົນຂັບ,,,
번역 완료,WEB 캘린더,Driver info,Driver info,ຂໍ້ມູນຄົນຂັບ,,,
번역 완료,,Driver information has been changed.,Driver information has been changed.,ຂໍ້ມູນຄົນຂັບມີການປ່ຽນແປງ,,,
번역 완료,,Driver license,Driver license,ໃບຂັບຂີ່,,,
번역 완료,,Driver list,Driver list,ລາຍການຄົນຂັບ,,,
번역 완료,WEB 캘린더,Driver name,Driver name,ຊື່ຄົນຂັບລົດຂົນສົ່ງ,,,
번역 완료,WEB 캘린더,Drop-off,Drop-off,ສົ່ງເຄື່ອງລົງ,,,
번역 완료,,Drop-off branch address,Drop-off branch address,ທີຢູ່ຈຸດສົ່ງສາຂາ,,,
번역 완료,WEB 캘린더,Drop-off branch code,Drop-off branch code,ລະຫັດຈຸດສົ່ງສາຂາ,,,
번역 완료,WEB 캘린더,"Drop-off branch code, name","Drop-off branch code, name","ລະຫັດຈຸດສົ່ງສາຂາ, ຊື່",,"รหัสสาขาปลายทาง, ชื่อสาขาปลายทาง",
번역 완료,WEB 캘린더,Drop-off branch name,Drop-off branch name,ຊື່ຈຸດສົ່ງສາຂາ,,,
번역 완료,WEB 캘린더,Dry cargo,Dry cargo,ເຄື່ອງແຫ້ງ,,,
번역 완료,,Edit,Edit,ແກ້ໄຂ,,,
번역 완료,,Edit driver,Edit driver,ແກ້ໄຂຄົນຂັບ,,,
번역 완료,,Edit vehicle,Edit vehicle,ແກ້ໄຂຍານພາຫະນະ," ",,
번역 완료,,Electric,Electric,ໄຟຟ້າ,,,
번역 완료,WEB 로그인,Email,Email,ອີເມວ,,,
번역 완료,,Email / Password,Email / Password,ອີເມວ / ລະຫັດຜ່ານ,,,
번역 완료,,Engine number,Engine number,ເລກຈັກ,,,
번역 완료,,Enter confirm password,Enter confirm password,ໃສ່ລະຫັດຜ່ານ ເພື່ອຢັ້ງຢືນ,,,
번역 완료,,Enter current password,Enter current password,ໃສ່ລະຫັດຜ່ານປັດຈຸບັນ,,,
번역 완료,,Enter how you want to use the vehicle,Enter how you want to use the vehicle,ລະບຸວິທີທີ່ທ່ານຕ້ອງການໃຊ້ຍານພາຫະນະ,,,
번역 완료,,Enter new password,Enter new password,ໃສ່ລະຫັດຜ່ານໃໝ່,,,
번역 완료,,Enter the description,Enter the description,ໃສ່ຄຳອະທິບາຍ,,,
번역 완료,WEB 로그인,Enter the email of the account that you wish to reset the password for. We'll send you a verification code.,Enter the email of the account that you wish to reset the password for. We'll send you a verification code.,ໃສ່ອີເມວທີ່ທ່ານຕ້ອງການຊອກຫາລະຫັດຜ່ານ. ພວກເຮົາຈະສົ່ງລະຫັດໃຫ້ທ່ານເພື່ອຢັ້ງຢືນຕົວຕົນຂອງທ່ານ.,,,
번역 완료,,Enter the engine number,Enter the engine number,ປ້ອນເລກຈັກໃສ່,,,
번역 완료,,Enter the first name of driver,Enter the first name of driver,ໃສ່ຊື່ຂອງຜູ້ຂັບລົດ,,,
번역 완료,,Enter the frame number,Enter the frame number,ປ້ອນຕົວເລກຂອບໃສ່,,,
번역 완료,,Enter the last name of driver,Enter the last name of driver,ໃສ່ນາມສະກຸນຂອງຜູ້ຂັບລົດ,,,
번역 완료,WEB 캘린더,"Enter the name of driver ","Enter the name of driver ",ໃສ່ຊື່ຄົນຂັບລົດ,,,
번역 완료,,"Enter the operate, using by or note","Enter the operate, using by or note","ເຂົ້າສັ່ງການດຳເນີນການ, ການນຳໃຊ້ໂດຍ ຫຼື ບັນທຶກ",,,
번역 완료,,Enter the plate number,Enter the plate number,ໃສ່ເລກທະບຽນ,,,
번역 완료,,Enter the vehicle brand,Enter the vehicle brand,ໃສ່ຍີ່ຫໍ້ລົດ,,,
번역 완료,,Enter the vehicle color,Enter the vehicle color,ປ້ອນສີລົດໃສ່,,,
번역 완료,,Enter the vehicle gear,Enter the vehicle gear,ປ້ອນເກຍລົດໃສ່,,,
번역 완료,,Enter the vehicle ID number,Enter the vehicle ID number,ໃສ່ໝາຍເລກປະຈຳຕົວລົດ,,,
번역 완료,,Enter the vehicle model,Enter the vehicle model,ໃສ່ປະເພດຍານພາຫະນະ,,,
번역 완료,,Enter your name,Enter your name,ໃສ່ຊື່ຂອງທ່ານ,,,
번역 완료,WEB 로그인,Expiration time,Expiration time,ເວລາຫມົດອາຍຸ,,,
번역 완료,WEB 캘린더,FEB,FEB,ເດືອນກຸມພາ,,,
번역 완료,,"File format: jpg, jpeg, png, bmp, webp, pdf (Limit 5MB per file)","File format: jpg, jpeg, png, bmp, webp, pdf (Limit 5MB per file)","ຮູບແບບໄຟລ: jpg, jpeg, png, bmp, webp, pdf (ຈຳກັດຂະໜາດໄຟລລະ 5MB)",,,
번역 완료,,First name,First name,ຊື່,,,
번역 완료,,Forklift,Forklift,ລົດໂຟກລິບ,,,
번역 완료,WEB 캘린더,"From ","From ",ຈາກ,,,
번역 완료,WEB 캘린더,Frozen,Frozen,ເຄື່ື່ອງເຍັນ,,,
번역 완료,,Fuel type,Fuel type,ປະເພດເຊື້ອໄຟ,,,
번역 완료,,Gas,Gas,ແກັສ,,,
번역 완료,,Gear,Gear,ເກຍ,,,
번역 완료,WEB 로그인,Go home,Go home,ກັບໄປໜ້າຫຼັກ,,,
번역 완료,,Heavy truck,Heavy truck,ລົດບັນທຸກໜັກ,,,
번역 완료,WEB 캘린더,History,History,ປະຫວັດ,,,
번역 완료,WEB 로그인,ID and password,ID and password,ໄອດີ ແລະ ລະຫັດ,,,
번역 완료,WEB 캘린더,Image,Image,ຮູບພາບ,,,
제거 필요,WEB 캘린더,Import favorite routes,Import favorite routes,ນາເຂາຜັ່ ານເສັ ນທາງທມັ ກທສຸ ດ,,,
번역 완료,WEB 로그인,Incorrect email or password.,Incorrect email or password.,ອີເມວ ຫຼືລະຫັດຜ່ານບໍ່ຖືກຕ້ອງ.,,,
번역 완료,WEB 캘린더,Index,Index,ດັດສະນີ,,,
번역 완료,WEB 캘린더,Invoice details,Invoice details,ລາຍລະອຽດໃບບິນ,,,
번역 완료,WEB 캘린더,Invoice information,Invoice information,ຂໍ້ມູນໃບບິນ,,,
번역 완료,WEB 캘린더,Invoice list,Invoice list,ລາຍການໃບບິນ,,,
번역 완료,WEB 캘린더,Invoice management,Invoice management,ການຈັດການໃບບິນ,,การจัดการใบแจ้งหนี้,
번역 완료,WEB 캘린더,Invoice No.,Invoice No.,ໃບບິນເລກທີ,,รหัสใบแจ้งหนี้,
번역 완료,WEB 캘린더,Invoice number,Invoice number,ເລກທີໃບບິນ,,,
번역 완료,,Is not a current password,Is not a current password,ບໍ່ແມ່ນລະຫັດປັດຈຸບັນ,,,
번역 완료,WEB 캘린더,Item information,Item information,ຂໍ້ມູນລາຍການ,,,
번역 완료,WEB 캘린더,JAN,JAN,ເດືອນມັງກອນ,,,
번역 완료,WEB 캘린더,JUL,JUL,ເດືອນກໍລະກົດ,,,
번역 완료,WEB 캘린더,JUN,JUN,ເດືອນມິຖຸນາ,,,
번역 완료,,Keep your account safe by regularly changing the password.,Keep your account safe by regularly changing the password.,ຮັກສາບັນຊີຂອງທ່ານໃຫ້ປອດໄພ ດ້ວຍການປ່ຽນລະຫັດຜ່ານເປັນປະຈຳ.,,,
번역 완료,WEB 캘린더,KOKKOK Zap,KOKKOK Zap,ກັອກໆແຊບ,,,
번역 완료,,Last name,Last name,ນາມສະກຸນ,,,
번역 완료,,Last shipping on,Last shipping on,ການຈັດສົ່ງລ້າສຸດ,,,
