상태,피그마,key,en,lo,ko,th,비고
번역 완료,WEB 캘린더,Latest updated,Latest updated,ອັບເດດຫຼ້າສຸດ,,,
번역 완료,WEB 캘린더,List,List,ລາຍການ,,รายการ,
번역 완료,,Location,Location,ສະຖານທີ່,,,
번역 완료,,Login ID,Login ID,ລົງຊື່ໄອດີ ເຂົ້າລະບົບ,,,
번역 완료,WEB 캘린더,Manager attachments,Manager attachments,ເອກະສານຕິດຂັດຜູ້ຈັດການ,,,
번역 완료,WEB 캘린더,MAR,MAR,ເດືອນມີນາ,,,
번역 완료,WEB 캘린더,MAY,MAY,ເດືອນພຶດສະພາ,,,
번역 완료,,MC,MC,MC,,,
번역 완료,WEB 캘린더,Memo,Memo,ຂໍ້ຄວາມບັນທຶກ,,,
번역 완료,,Mobile number,Mobile number,ເບີໂທລະສັບມືຖື,,,
번역 완료,WEB 캘린더,Modified date,Modified date,ວັນທີ ແກ້ໄຂ,,,
번역 완료,,My account,My account,ບັນຊີຂອງຂ້ອຍ,,,
번역 완료,,Name,Name,ຊື່,,,
번역 완료,,Need repair,Need repair,ຈຳເປັນຕ້ອງສ້ອມແປງ,,,
번역 완료,WEB 로그인,New password,New password,ລະຫັດຜ່ານໃໝ່,,,
번역 완료,WEB 로그인,Next,Next,ຕໍ່ໄປ,,,
번역 완료,WEB 캘린더,No results found,No results found,ບໍ່ພົບຜົນການຄົ້ນຫາ,,,
번역 완료,,Note,Note,ໝາຍເຫດ,,,
번역 완료,WEB 캘린더,NOV,NOV,ເດືອນພະຈິກ,,,
번역 완료,,Numbers only,Numbers only,ຕົວເລກເທົ່ານັ້ນ,,,
번역 완료,WEB 캘린더,OCT,OCT,ເດືອນຕຸລາ,,,
번역 완료,,On duty,On duty,ກຳລັງປະຕິບັດໜ້າທີ່,,,
번역 완료,WEB 캘린더,Order details,Order details,ລາຍລະອຽດ ຄຳສັ່ງຂົນສົ່ງ,,,
,,Order management,Order management,ການຈັ ດການໍາາສັ ງຊ,,,
번역 완료,WEB 캘린더,Order number,Order number,ເລກທີ ຄຳສັ່ງຂົນສົ່ງ,,,
번역 완료,,Other box,Other box,ກ່ອງອື່ນໆ,,,
번역 완료,WEB 캘린더,Pack,Pack,ແພັກ,,,
번역 완료,WEB 캘린더,Package,Package,ພັດສະດຸ,,,
번역 완료,WEB 로그인,Page not found,Page not found,ບໍ່ເຫັນໜ້ານີ້,,,
번역 완료,WEB 로그인,Password,Password,ລະຫັດຜ່ານ,,,
번역 완료,WEB 로그인,Password has been changed.,Password has been changed.,ລະຫັດຜ່ານ ມີການປ່ຽນແປງ.,,,
번역 완료,WEB 로그인,Password matches,Password matches,ລະຫັດຜ່ານກົງກັນ,,,
번역 완료,WEB 캘린더,Pick-up,Pick-up,ຮັບເຄື່ອງ,,,
번역 완료,WEB 캘린더,Pick-up branch address,Pick-up branch address,ທີ່ຢູ່ຈຸດຮັບສາຂາ,,,
번역 완료,WEB 캘린더,Pick-up branch code,Pick-up branch code,ລະຫັດຈຸດຮັບສາຂາ,,,
번역 완료,WEB 캘린더,"Pick-up branch code, name","Pick-up branch code, name","ລະຫັດຈຸດຮັບສາຂາ, ຊື່",,"รหัสสาขาจุดรับ, ชื่อสาขาจุดรับ",
번역 완료,WEB 캘린더,Pick-up branch name,Pick-up branch name,ຊື່ຈຸດຮັບສາຂາ,,,
번역 완료,WEB 캘린더,Plate number,Plate number,ເລກປ້າຍລົດ,,,
번역 완료,WEB 캘린더,Please apply the filter to search,Please apply the filter to search,ກະລຸນານຳໃຊ້ຕົວກອງເພື່ອຄົ້ນຫ,,,
번역 완료,WEB 캘린더,Please edit route by drag and drop.,Please edit route by drag and drop.,ກະລຸນາດັດແປງເສັ້ນທາງໂດຍການລາກ ແລະ ວາງ,,,
번역 완료,WEB 로그인,Please enter a valid email address.,Please enter a valid email address.,ກະລຸນາໃສ່ທີ່ຢູ່ອີເມວທີ່ຖືກຕ້ອງ.,,,
번역 완료,WEB 로그인,Please enter email address.,Please enter email address.,ກະລຸນາໃສ່ທີ່ຢູ່ອີເມວຂອງທ່ານ.,,,
번역 완료,,Please fill out this field.,Please fill out this field.,ກະລຸນາຕື່ມຂໍ້ມູນໃສ່ໃນຊ່ອງນີ້.,,,
제거 필요,WEB 캘린더,Please select favorite routes from list.,Please select favorite routes from list.,ກະລຸ ນາເລອກເສັ ນທາງທມັ ກທສຸ ດຈາກລາຍການ.,,,
번역 완료,WEB 캘린더,Please select the driver and truck to dispatch.,Please select the driver and truck to dispatch.,ກະລຸ ນາເລອກຄນຂັ ບ ແລະ ລດບັ ນທຸ ກທັ່ ຈະສັ່ ງ.,,,
제거 필요,WEB 캘린더,Please set delivery route from list.,Please set delivery route from list.,ກະລຸ ນາການດເສັ ນທາງການຈັ ດສງຈາກລາຍການ.,,,
번역 완료,WEB 캘린더,Product name,Product name,ຊື່ສິນຄ້າ,,,
번역 완료,,Profile,Profile,ໂປຣໄຟລ໌,,,
번역 완료,,Profile picture,Profile picture,ຮູບ ໂປຣໄຟລ໌,,,
번역 완료,,Property,Property,ຄຸນສົມບັດ,,,
제거 필요,WEB 캘린더,Quantity,Quantity,ປະລິມານ,,,
번역 완료,WEB 캘린더,Reason,Reason,ເຫດຜົນ,,,
번역 완료,,Red/Black,Red/Black,ສີແດງ/ສີດຳ,,,
번역 완료,,Red/White,Red/White,ສີແດງ/ສີຂາວ,,,
번역 완료,WEB 캘린더,Ref SO.,Ref SO.,Ref SO.,,หมายเลขคำสั่งซื้อ,
번역 완료,,Repaired,Repaired,ສ້ອມແປງສຳເລັດ,,,
번역 완료,,Repairing,Repairing,ກຳລັງສ້ອມແປງ,,,
번역 완료,WEB 캘린더,Requested,Requested,ຮ້ອງຂໍແລ້ວ,,ที่ร้องขอ,
번역 완료,WEB 캘린더,Reset,Reset,ຣີເຊັດ,,รีเซ็ต,
번역 완료,WEB 로그인,Reset password,Reset password,ຕັ້ງລະຫັດຜ່ານໃຫມ່,,,
번역 완료,WEB 캘린더,Route,Route,ເສັ້ນທາງ,,,
번역 완료,WEB 캘린더,Routes details,Routes details,ລາຍລະອຽດເສັ້ນທາງ,,,
제거 필요,WEB 캘린더,Search by branch code,Search by branch code,ຄື້ ນຫາຕາມລະຫັ ດສາຂາ,,,
번역 완료,WEB 캘린더,Search by branch code (drop-off),Search by branch code (drop-off),ຄົ້ນຫາໂດຍລະຫັດສາຂາ (ຈຸດສົ່ງ),,ค้นหาด้วยรหัสสาขา (ปลายทาง),
번역 완료,WEB 캘린더,Search by plate number,Search by plate number,ຄົ້ນຫາໂດຍເລກທະບຽນ,,,
번역 완료,WEB 캘린더,Search driver name,Search driver name,ຄົ້ນຫາ ຊື່ຄົນຂັບລົດຂົນສົ່ງ,,,
번역 완료,WEB 캘린더,Select,Select,ເລືອກ,,,
제거 필요,WEB 캘린더,Select delivery routes,Select delivery routes,ເລອກເສັ ນທາງການຈັ ດສງ,,,
번역 완료,,Select fuel type,Select fuel type,ເລືອກຊະນິດເຊື້ອໄຟ,,,
번역 완료,WEB 캘린더,Select the date,Select the date,ເລືອກວັນທີ,,,
번역 완료,WEB 캘린더,Select the delivery type,Select the delivery type,ເລືອກປະເພດການຂົນສົ່ງ,,เลือกประเภทการจัดส่ง,
번역 완료,WEB 캘린더,Select the driver and truck,Select the driver and truck,ເລືອກຄົນຂັບ ແລະ ລົດບັນທຸກ,,,
번역 완료,WEB 캘린더,Select the driver and truck to dispatch.,Select the driver and truck to dispatch.,ເລືອກຄົນຂັບ ແລະ ລົດບັນທຸກທີ່ຈະສັ່ງ.,,,
번역 완료,WEB 캘린더,Select the invoice.,Select the invoice.,ເລືອກໃບບິນ,,,
제거 필요,WEB 캘린더,Select the route or favorite routes.,Select the route or favorite routes.,ເລອກເສັ ນທາງ ຫ ເສັ ນທາງທມັ ກທສຸ ດ.,,,
번역 완료,,Select vehicle type,Select vehicle type,ກະລຸນາເລືອກປະເພດຍານພາຫະນະ.,,,
번역 완료,WEB 캘린더,Selected,Selected,ເລືອກແລ້ວ,,,
번역 완료,WEB 캘린더,SEP,SEP,ເດືອນກັນຍາ,,,
번역 완료,,Settings,Settings,ການຕັ້ງຄ່າ,,,
번역 완료,WEB 로그인,Sign in,Sign in,ເຂົ້າສູ່ລະບົບ,,,
번역 완료,WEB 로그인,Sign out,Sign out,ອອກຈາກລະບົບ,,,
번역 완료,WEB 캘린더,Signature,Signature,ລາຍເຊັນ,,,
번역 완료,,Silver,Silver,ສີປອນເງິນ,,,
,WEB 로그인,"Sorry for the inconvenience but we're performing some maintenane at the moment.  we'll be back online shortly.
Thank you.","Sorry for the inconvenience but we're performing some maintenane at the moment.  we'll be back online shortly.
Thank you.",ຂໍອະໄພໃນຄວາມບໍ່ສະດວກ ພວກເຮົາກໍາລັງເລັ່ງດໍາເນີນການຈະກັບມາອອນລາຍໃນໄວໆນີ້.,,,
번역 완료,WEB 로그인,"Sorry for the inconvenience but we're performing some maintenane at the moment.  we'll be back online shortly.
Thank you.","Sorry for the inconvenience but we're performing some maintenane at the moment.  we'll be back online shortly.
Thank you.",ขออภัยในความไม่สะดวก แต่เรากำลังดำเนินการบำรุงรักษาบางอย่างในขณะนี้ เราจะกลับมาออนไลน์อีกครั้งเร็วๆ นี้,,,
번역 완료,,Specification,Specification,ຂໍ້ມູນສະເພາະ,,,
번역 완료,WEB 캘린더,Status,Status,ສະຖານະ,,,
번역 완료,WEB 캘린더,Status has been changed.,Status has been changed.,ສະຖານະມີການປ່ຽນແປງ,,,
번역 완료,WEB 캘린더,Status history,Status history,ປະຫວັດສະຖານະ,,,
번역 완료,,SVK,SVK,SVK,,,
번역 완료,,The account information has been changed.,The account information has been changed.,ຂໍ້ມູນບັນຊີ ໄດ້ຖືກປ່ຽນແປງແລ້ວ.,,,
번역 완료,,The file cannot exceed more than 5MB per file.,The file cannot exceed more than 5MB per file.,ໄຟລຕ້ອງມີຂະໜາດບໍ່ເກີນ 5MB ໄຟລ,,,
,,The file cannot exceed more than 5MB.,The file cannot exceed more than 5MB.,ໄຟລ໌ຕ້ອງມີຂະໜາດບໍ່ເກີນ 5MB.,,,
번역 완료,,The invoice has been deleted.,The invoice has been deleted.,ໃບບິນໄດ້ຖືກລຶບແລ້ວ,,,
번역 완료,WEB 로그인,"The requested page could not be found.
Please check that the address on the page you entered is correct","The requested page could not be found.
Please check that the address on the page you entered is correct",ບໍ່ສາມາດຊອກຫາໜ້າທີ່ຮ້ອງຂໍໄດ້. ກະລຸນາກວດເບິ່ງວ່າທີ່ຢູ່ໃນໜ້າທີ່ທ່ານລະບຸນັ້ນຖືກຕ້ອງ,,,
번역 완료,WEB 로그인,The requested page could not be found.Please check that the address on the page you entered is correct,The requested page could not be found.Please check that the address on the page you entered is correct,ບໍ່ສາມາດຊອກຫາໜ້າທີ່ຮ້ອງຂໍໄດ້. ກະລຸນາກວດເບິ່ງວ່າທີ່ຢູ່ໃນໜ້າທີ່ທ່ານລະບຸນັ້ນຖືກຕ້ອງ,,,
번역 완료,WEB 캘린더,"The route cannot be displayed because it exceeds 2,000 km.","The route cannot be displayed because it exceeds 2,000 km.","ເສັ້ນທາງດັ່ງກ່າວບໍ່ສາມາດໃຫ້ບໍລິການໄດ້ ເນື່ອງຈາກໄລຍະທາງເກີນ 2,000 ກິໂລແມັດ.",,,
번역 완료,WEB 캘린더,The route setting is not available.,The route setting is not available.,ການຕັ້ງຄ່າເສັ້ນທາງບໍ່ສະດວກ,,,
번역 완료,WEB 캘린더,The routes has been edited successfully.,The routes has been edited successfully.,ແກື້ໄຂເສັ ນທາງຮຽບຮື້ອຍແລື້ວ.,,,
번역 완료,,The vehicle has been added successfully.,The vehicle has been added successfully.,ພາຫະນະໄດ້ຖືກເພີ່ມເຂົ້າສໍາເລັດແລ້ວ.,,,
번역 완료,,The vehicle information has been changed.,The vehicle information has been changed.,ຂໍ້ມູນຍານພາຫະນະມີການປ່ຽນແປງ.,,,
번역 완료,WEB 로그인,The verification code is incorrect.,The verification code is incorrect.,ລະຫັດຢືນຢັນບໍ່ຖືກຕ້ອງ.,,,
번역 완료,,This login ID is already registered.,This login ID is already registered.,ລະຫັດID ນີ້ໄດ້ຖືກລົງທະບຽນແລ້ວ.,,,
번역 완료,WEB 캘린더,To,To,ເຖິງ,,,
번역 완료,WEB 캘린더,Today,Today,ມື້ນີ້,,,
번역 완료,,Total box information,Total box information,ລາຍລະອຽດຈຳນວນກ່ອງທັງໝົດ,,,
번역 완료,WEB 캘린더,Total price,Total price,ລາຄາລວມ,,,
번역 완료,,TP to J-Mart,TP to J-Mart,ສາງທົ່ງປົ່ງ ໄປ ເຈມາກ,,,
번역 완료,WEB 캘린더,TP to PSN,TP to PSN,ສາງທົ່ງປົ່ງ ໄປ ໂພນສີນວນ,,,
번역 완료,,Tractor 10T,Tractor 10T,ແທັກເຕີ 10 ໂຕນ,,,
번역 완료,,Trailer 10T,Trailer 10T,ລົດລາກ 10 ໂຕນ,,,
번역 완료,,Truck (Carrier) 5T,Truck (Carrier) 5T,ລົດບັນທຸກ (ບັນທຸກ) 5 ໂຕນ,,,
번역 완료,WEB 캘린더,Truck has been changed.,Truck has been changed.,ລົດບັນທຸກໄດ້ມີການປ່ຽນແປງແລ້ວ,,,
번역 완료,WEB 캘린더,Truck history,Truck history,ປະຫວັດລົດບັນທຸກ,,,
번역 완료,WEB 캘린더,Truck info,Truck info,ຂໍ້ມູນລົດບັນທຸກ,,,
번역 완료,WEB 캘린더,Type,Type,ປະເພດ,,,
번역 완료,,Unable to process your request due to shipping schedule exists.,Unable to process your request due to shipping schedule exists.,ບໍ່ສາມາດດຳເນີນການຕາມຄຳຮ້ອງຂໍຂອງທ່ານໄດ້ເນື່ອງຈາກມການດການຈັດສັ່ງ,,,
번역 완료,,Unavailable,Unavailable,ບໍ່ສາມາດໃຊ້ໄດ້,,,
번역 완료,WEB 캘린더,Unit,Unit,ອັນ,,,
번역 완료,WEB 캘린더,Update,Update,ອັບເດດ,,,
번역 완료,,Using for,Using for,ນຳໃຊ້ສຳຫຼັບ,,,
번역 완료,,"Vehicle brand ","Vehicle brand ",ຍີ່ຫໍ້ລົດ,,,
번역 완료,,Vehicle details,Vehicle details,ລາຍລະອຽດລົດ,,,
번역 완료,,Vehicle has been deleted.,Vehicle has been deleted.,ຍານພາຫະນະຖກລຶ ບ.,,,
번역 완료,,Vehicle Id Number,Vehicle Id Number,ເລກຖັງລົດ,,,
번역 완료,,Vehicle information,Vehicle information,ຂໍ້ມູນຍານພາຫະນະ,,,
번역 완료,,Vehicle list,Vehicle list,ລາຍການລົດ,,,
번역 완료,,Vehicle model,Vehicle model,ລຸ້ນລົດ,,,
번역 완료,,Vehicle photo,Vehicle photo,ຮູບພາບຍານພາຫະນະ,,,
번역 완료,,Vehicle photo (Optional),Vehicle photo (Optional),ຮູບພາບຍານພາຫະນະ (ບໍ່ບັງຄັບ),,,
번역 완료,,Vehicle type,Vehicle type,ປະເພດຍານພາຫະນະ,,,
번역 완료,WEB 로그인,Verification code,Verification code,ລະຫັດຢືນຢັນ,,,
번역 완료,WEB 로그인,Verify,Verify,ຢືນຢັນ,,,
번역 완료,,VTE,VTE,VTE,,,
제거 필요,WEB 캘린더,Warehouse,Warehouse,ສາງສິ ນຄື້າ,,,
번역 완료,WEB 로그인,Website maintenance notice,Website maintenance notice,ແຈ້ງການບໍາລຸງຮັກສາເວັບໄຊທ໌,,,
번역 완료,,White,White,ສີຂາວ,,,
번역 완료,,Year,Year,ປີ,,,
번역 완료,,Yellow,Yellow,ສີເຫືອງ,,,
번역 완료,WEB 로그인,You cannot request for more verification code. Please try again later.,You cannot request for more verification code. Please try again later.,ບັນຊີໄດ້ຖືກລັອກເນື່ອງຈາກມີຄໍາຮ້ອງຂໍລະຫັດຢືນຢັນຫຼາຍຄັ້ງ. ກະລຸນາລອງໃໝ່ໃນພາຍຫຼັງ.,,,
번역 완료,WEB 로그인,"You’re using a web browser we don’t support.
Please use one of these options to improve your experience.","You’re using a web browser we don’t support.
Please use one of these options to improve your experience.",ທ່ານກໍາລັງໃຊ້ເວັບບຣາວເຊີທີ່ພວກເຮົາບໍ່ຮອງຮັບ. ກະລຸນາໃຊ້ຫນຶ່ງໃນທາງເລືອກເຫຼົ່ານີ້ເພື່ອປັບປຸງປະສົບການຂອງທ່ານ.,,,
번역 완료,WEB 로그인,You’re using a web browser we don’t support.Please use one of these options to improve your experience.,You’re using a web browser we don’t support.Please use one of these options to improve your experience.,ທ່ານກໍາລັງໃຊ້ເວັບບຣາວເຊີທີ່ພວກເຮົາບໍ່ຮອງຮັບ. ກະລຸນາໃຊ້ຫນຶ່ງໃນທາງເລືອກເຫຼົ່ານີ້ເພື່ອປັບປຸງປະສົບການຂອງທ່ານ.,,,